vehicles_N,vehicles_S,vehicles_E,vehicles_W,ped_N,ped_S,ped_E,ped_W,emg_N,emg_S,emg_E,emg_W,green_N,green_S,green_E,green_W
270,317,274,291,1,2,1,3,2,3,1,0,485.5,570.6,493.7,528.3000000000001
35,58,41,271,1,3,3,3,2,1,2,2,62.5,107.9,76.3,490.3
260,379,340,305,0,0,1,3,1,3,2,0,467.0,679.2,611.5,553.5
24,52,48,381,3,2,0,3,2,1,2,3,45.7,95.60000000000001,84.4,687.3000000000001
286,79,267,64,1,3,1,3,3,3,1,3,513.3000000000001,143.70000000000002,481.1,116.7
19,57,87,363,0,2,1,0,1,0,1,1,33.2,105.60000000000001,157.1,652.4
390,311,28,330,2,3,3,3,1,0,0,1,704.0,564.3000000000001,54.9,597.5
227,252,330,26,2,3,1,3,2,0,3,2,409.6,458.1,592.5,49.300000000000004
30,5,107,364,0,1,1,0,3,0,0,2,51.0,10.5,194.1,653.2
246,292,285,8,3,2,0,2,0,0,2,2,447.3,528.6,511.0,15.399999999999999
75,198,67,306,2,1,2,2,2,0,3,3,136.0,357.90000000000003,120.60000000000001,550.8000000000001
46,35,68,311,1,1,2,0,1,0,2,3,83.3,64.5,123.4,556.8000000000001
289,47,268,287,3,1,0,0,3,0,2,2,521.7,86.10000000000001,480.40000000000003,514.6
341,61,216,203,0,1,3,3,3,2,3,3,610.8000000000001,109.3,390.3,366.90000000000003
369,58,231,325,2,0,0,2,0,1,0,2,667.2,103.4,415.8,586.0
333,296,139,17,1,0,2,2,2,1,1,2,598.9,531.8000000000001,252.20000000000002,31.6
223,293,284,176,3,2,3,0,3,1,3,3,402.90000000000003,529.4,512.7,313.8
45,368,230,40,3,0,0,2,0,2,1,2,85.5,660.4,413.0,73.0
131,51,326,281,0,2,0,0,1,3,0,3,234.8,91.8,586.8000000000001,502.8
14,25,55,235,2,0,1,2,0,2,0,3,28.2,43.0,100.5,423.0
352,43,61,152,0,3,2,3,0,0,1,3,633.6,81.9,111.8,275.1
56,362,239,198,2,2,0,2,2,1,0,3,101.8,653.6,430.2,356.40000000000003
226,15,46,383,1,0,3,0,3,2,3,1,405.3,25.0,84.3,688.4
396,28,58,20,2,0,3,2,0,3,3,1,715.8000000000001,47.4,105.9,38.0
320,10,32,343,1,3,1,3,2,0,0,2,575.5,22.5,59.1,619.9
60,213,35,40,3,2,1,1,2,3,0,3,110.5,383.40000000000003,64.5,70.5
352,391,162,281,1,1,3,2,1,0,3,1,634.1,705.3000000000001,293.1,507.8
388,255,61,7,2,1,0,1,0,2,0,1,701.4,458.5,109.8,13.1
270,387,250,277,2,2,0,2,3,3,0,2,486.0,696.6,450.0,499.6
386,188,197,66,3,2,2,0,0,0,3,3,699.3000000000001,341.40000000000003,354.6,115.8
