vehicles_N,vehicles_S,vehicles_E,vehicles_W,ped_N,ped_S,ped_E,ped_W,emg_N,emg_S,emg_E,emg_W,time_of_day,green_N,green_S,green_E,green_W,priority_order
35.0,34.0,17.0,39.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,137.0689655172414,87.93103448275863,77.58620689655173,147.41379310344828,WNSE
14.0,38.0,5.0,11.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,126.69902912621357,209.70873786407768,65.53398058252426,48.05825242718446,SNEW
3.0,11.0,48.0,41.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,19.630872483221477,36.241610738255034,92.11409395973153,77.01342281879197,EWSN
35.0,25.0,40.0,24.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,165.48387096774192,174.19354838709677,217.74193548387098,117.58064516129032,ESNW
4.0,16.0,5.0,13.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,130.26315789473685,94.73684210526315,88.81578947368422,136.18421052631578,WNSE
2.0,25.0,46.0,11.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,36.0,53.99999999999999,97.2,37.8,ESWN
29.0,29.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,191.91176470588235,291.1764705882353,112.5,79.41176470588236,SNEW
38.0,9.0,15.0,13.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,77.02702702702703,44.59459459459459,60.810810810810814,42.56756756756757,NESW
29.0,41.0,34.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,151.74418604651163,240.69767441860466,230.23255813953486,52.325581395348834,SENW
20.0,48.0,40.0,30.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,109.88372093023257,239.38953488372093,196.22093023255815,129.50581395348837,SEWN
13.0,48.0,9.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,80.08474576271186,194.4915254237288,64.83050847457628,110.59322033898306,SWNE
5.0,35.0,4.0,27.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,37.89473684210526,236.8421052631579,33.1578947368421,142.10526315789474,SWNE
25.0,21.0,16.0,40.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,191.4179104477612,120.89552238805969,95.7089552238806,266.97761194029846,WNSE
48.0,26.0,33.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,232.3051948051948,113.96103896103898,179.70779220779218,149.02597402597402,NEWS
49.0,6.0,29.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,2.0,324.812030075188,121.80451127819548,213.15789473684208,15.225563909774435,NESW
17.0,46.0,16.0,34.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,89.33823529411764,162.13235294117646,86.02941176470587,112.5,SWNE
18.0,29.0,43.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,139.65517241379308,112.5,186.20689655172413,11.637931034482758,ENSW
17.0,27.0,39.0,12.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,103.5971223021583,129.49640287769785,168.34532374100718,48.561151079136685,ESNW
18.0,46.0,5.0,20.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,153.65853658536585,351.219512195122,43.90243902439025,126.21951219512195,SNWE
41.0,7.0,25.0,16.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,85.63432835820896,20.14925373134328,67.16417910447761,52.05223880597015,NEWS
