vehicles_N,vehicles_S,vehicles_E,vehicles_W,ped_N,ped_S,ped_E,ped_W,emg_N,emg_S,emg_E,emg_W,time_of_day,green_N,green_S,green_E,green_W,priority_order
35.0,34.0,17.0,39.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,137.0689655172414,87.93103448275863,77.58620689655173,147.41379310344828,WNSE
14.0,38.0,5.0,11.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,126.69902912621356,209.70873786407768,65.53398058252426,48.05825242718446,SNEW
4.0,16.0,5.0,13.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,130.26315789473685,94.73684210526316,88.81578947368422,136.18421052631578,WNSE
13.0,48.0,9.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,80.08474576271186,194.4915254237288,64.83050847457628,110.59322033898306,SWNE
5.0,35.0,4.0,27.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,37.89473684210526,236.8421052631579,33.1578947368421,142.10526315789474,SWNE
17.0,46.0,16.0,34.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,89.33823529411764,162.13235294117646,86.02941176470587,112.5,SWNE
18.0,29.0,43.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,139.65517241379308,112.5,186.20689655172413,11.637931034482758,ENSW
17.0,27.0,39.0,12.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,103.5971223021583,129.49640287769785,168.34532374100718,48.561151079136685,ESNW
28.0,43.0,13.0,20.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,102.57352941176468,185.2941176470588,69.48529411764707,92.64705882352942,SNWE
25.0,40.0,28.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,1.0,143.33333333333334,133.33333333333334,126.66666666666669,46.66666666666666,NSEW
40.0,4.0,24.0,36.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,162.11180124223606,47.51552795031056,117.3913043478261,122.98136645962734,NWES
50.0,39.0,17.0,45.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,143.38235294117646,119.11764705882356,66.1764705882353,121.3235294117647,NWSE
11.0,17.0,39.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,90.0,94.73684210526316,198.94736842105263,66.3157894736842,ESNW
0.0,42.0,40.0,42.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,49.090909090909086,136.36363636363637,150.0,114.54545454545452,ESWN
35.0,48.0,29.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,137.5796178343949,160.50955414012742,97.45222929936308,54.45859872611465,SNEW
14.0,40.0,3.0,18.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,83.00970873786409,196.6019417475728,69.90291262135923,100.4854368932039,SWNE
6.0,6.0,38.0,27.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,41.25,41.25,198.75,168.75,EWNS
8.0,13.0,49.0,18.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,52.7027027027027,93.24324324324324,198.64864864864865,105.4054054054054,EWSN
23.0,48.0,24.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,85.13513513513514,185.47297297297297,112.5,66.8918918918919,SENW
37.0,19.0,17.0,23.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,151.11940298507466,97.38805970149254,73.88059701492537,127.61194029850746,NWSE
44.0,2.0,48.0,43.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,151.71428571428572,30.85714285714286,131.14285714285714,136.28571428571428,NWES
