vehicles_N,vehicles_S,vehicles_E,vehicles_W,ped_N,ped_S,ped_E,ped_W,emg_N,emg_S,emg_E,emg_W,time_of_day,green_N,green_S,green_E,green_W,priority_order
3.0,11.0,48.0,41.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,19.63087248322148,36.24161073825504,92.11409395973152,77.01342281879197,EWSN
2.0,25.0,46.0,11.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,36.0,53.99999999999999,97.2,37.8,ESWN
38.0,9.0,15.0,13.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,77.02702702702703,44.59459459459459,60.810810810810814,42.56756756756757,NESW
41.0,7.0,25.0,16.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,85.63432835820896,20.14925373134328,67.16417910447761,52.05223880597015,NEWS
16.0,15.0,31.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,37.89473684210526,59.21052631578947,116.05263157894736,11.842105263157896,ESNW
49.0,0.0,36.0,50.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,89.4230769230769,0.0,56.25,79.3269230769231,NWES
0.0,17.0,36.0,48.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,4.927007299270073,44.34306569343066,88.68613138686132,87.04379562043796,EWSN
36.0,33.0,38.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,60.90225563909774,81.203007518797,72.74436090225564,10.150375939849624,SENW
3.0,5.0,48.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,18.36734693877551,22.95918367346939,133.16326530612244,50.51020408163265,EWSN
37.0,30.0,5.0,37.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,59.602649006622514,71.52317880794702,34.271523178807946,59.602649006622514,SNWE
1.0,20.0,33.0,6.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,43.18181818181818,63.63636363636363,86.36363636363636,31.818181818181817,ESNW
37.0,1.0,14.0,45.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,82.72058823529413,14.889705882352942,23.16176470588235,104.22794117647058,WNES
47.0,12.0,7.0,39.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,75.0,35.1063829787234,23.93617021276596,90.95744680851062,WNSE
22.0,8.0,7.0,17.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,57.39795918367347,48.21428571428571,57.39795918367347,61.98979591836735,WNES
26.0,30.0,29.0,7.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,65.42553191489361,68.61702127659574,59.04255319148936,31.91489361702128,SNEW
4.0,27.0,12.0,45.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,13.695652173913045,58.69565217391305,48.91304347826087,103.69565217391305,WSEN
17.0,44.0,22.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,31.09756097560976,104.26829268292684,54.8780487804878,34.75609756097561,SEWN
32.0,31.0,13.0,42.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,54.6875,56.25,35.93749999999999,78.125,WSNE
45.0,16.0,24.0,50.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,69.01840490797547,28.98773006134969,37.26993865030675,89.72392638036811,WNES
41.0,0.0,30.0,20.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,94.82142857142856,20.892857142857142,69.10714285714286,40.17857142857143,NEWS
2.0,48.0,16.0,33.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,22.058823529411764,89.70588235294117,49.99999999999999,63.23529411764706,SWEN
6.0,11.0,8.0,7.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,58.56164383561643,89.38356164383559,24.65753424657534,52.3972602739726,SNWE
19.0,2.0,50.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,45.83333333333333,35.416666666666664,104.16666666666669,39.583333333333336,ENWS
28.0,18.0,32.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,84.65346534653465,62.37623762376238,71.28712871287128,6.683168316831683,NESW
27.0,32.0,45.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,46.05263157894736,65.78947368421052,82.89473684210526,30.26315789473684,ESNW
34.0,47.0,41.0,38.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,58.208955223880594,61.56716417910448,51.49253731343284,53.73134328358209,SNWE
2.0,38.0,4.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.838709677419356,91.93548387096776,9.677419354838714,118.54838709677418,WSEN
50.0,48.0,30.0,33.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,59.21052631578947,65.66985645933015,48.44497607655504,51.67464114832536,SNWE
46.0,7.0,19.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,114.43965517241378,42.672413793103445,36.85344827586207,31.03448275862069,NSEW
8.0,32.0,8.0,29.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,49.57627118644068,70.55084745762713,24.78813559322034,80.08474576271186,WSNE
13.0,47.0,37.0,18.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,40.38461538461539,79.3269230769231,67.78846153846153,37.5,SENW
5.0,30.0,11.0,14.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,34.91379310344827,93.10344827586206,50.43103448275863,46.55172413793103,SEWN
6.0,23.0,41.0,10.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,46.55172413793103,54.31034482758621,85.34482758620688,38.793103448275865,ESNW
34.0,8.0,25.0,16.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,68.23770491803278,20.28688524590164,73.77049180327867,62.70491803278688,ENWS
42.0,35.0,37.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,90.0,64.5,63.0,7.5,NSEW
35.0,36.0,31.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,55.60344827586207,56.896551724137936,50.43103448275863,62.06896551724138,WSNE
23.0,12.0,34.0,8.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,69.82758620689654,29.09482758620689,100.86206896551724,25.21551724137931,ENSW
48.0,15.0,45.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,95.1923076923077,47.59615384615385,69.23076923076924,12.980769230769232,NESW
