vehicles_N,vehicles_S,vehicles_E,vehicles_W,ped_N,ped_S,ped_E,ped_W,emg_N,emg_S,emg_E,emg_W,time_of_day,green_N,green_S,green_E,green_W,priority_order
29.0,36.0,6.0,43.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,190.76086956521735,190.76086956521735,44.02173913043478,249.45652173913044,WNSE
7.0,44.0,21.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,106.25,337.5,225.0,6.249999999999999,SENW
5.0,0.0,38.0,18.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,132.3529411764706,52.94117647058823,271.32352941176475,218.3823529411765,EWNS
27.0,30.0,13.0,15.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,183.67346938775512,197.44897959183675,142.34693877551018,151.53061224489795,SNWE
21.0,40.0,24.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,137.109375,279.4921875,179.296875,79.1015625,SENW
12.0,24.0,45.0,22.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,129.80769230769232,166.1538461538462,249.23076923076923,129.80769230769232,ESNW
50.0,32.0,30.0,11.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,265.78125,147.65625,160.3125,101.25,NESW
7.0,28.0,25.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,75.84269662921348,235.1123595505618,303.3707865168539,60.67415730337079,ESNW
48.0,22.0,43.0,24.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,207.99418604651163,145.20348837209303,168.75,153.05232558139534,NEWS
36.0,22.0,24.0,22.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,209.33544303797467,115.3481012658228,179.4303797468354,170.8860759493671,NEWS
29.0,36.0,38.0,28.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,142.71428571428572,177.4285714285714,216.0,138.85714285714283,ESNW
43.0,23.0,20.0,44.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,2.0,209.21052631578945,102.63157894736842,150.0,213.15789473684208,WNES
25.0,9.0,47.0,26.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,144.64285714285714,52.5974025974026,284.90259740259734,192.85714285714283,EWNS
50.0,18.0,46.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,248.1617647058824,138.97058823529412,228.3088235294118,59.55882352941177,NESW
37.0,47.0,35.0,12.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,198.52941176470588,187.7005347593583,180.48128342245988,108.28877005347594,NSEW
78.0,60.0,98.0,68.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,178.04347826086956,127.17391304347824,211.30434782608697,158.4782608695652,ENWS
32.0,33.0,8.0,44.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,177.6315789473684,189.4736842105263,82.89473684210526,225.0,WSNE
40.0,6.0,9.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,351.5625,112.5,133.59375,77.34375,NESW
28.0,20.0,21.0,23.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,249.32432432432432,121.6216216216216,145.94594594594594,158.1081081081081,NWES
22.0,18.0,22.0,9.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,241.07142857142856,138.61607142857144,150.66964285714286,144.64285714285714,NEWS
24.0,50.0,17.0,33.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,110.45454545454548,245.45454545454544,122.72727272727272,196.36363636363637,SWEN
85.0,89.0,81.0,75.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,176.2402088772846,188.57702349869453,151.56657963446477,158.61618798955618,SNWE
49.0,28.0,34.0,34.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,2.0,214.9253731343284,154.4776119402985,141.044776119403,164.55223880597018,NWSE
49.0,4.0,27.0,22.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,316.2587412587412,33.04195804195805,174.65034965034965,151.04895104895104,NEWS
